"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1466","Eyuk, edo amunggun tionup a,","Eyuk		edo	amunggun	tio-n-up	=a","yes		DEM.this	afternoon	stay-SS-1PL	=LNK","Yes, this is (about when) we stayed in the afternoon and ...","","WORD_ALIGNED"
"a71","wene, ton mombupten yeman,","wen-e		ton	momb-up-ten	yeman","go-SM		fish	hit-1PL-PFV	about","went to catch a fish ...","","WORD_ALIGNED"
"a2632","tekmane keman.","tekm-an-e	kem-an","tell-IRR-SM	AUX-1SG","I want to tell about it.","","WORD_ALIGNED"
"a1467","Amunggun tionup a,","amunggun	tio-n-up	=a","afternoon	sit-SS-1PL	=LNK","We were sitting around in the afternoon and ...","","WORD_ALIGNED"
"a1468","Ubi kung ege, nenggem engge kemen wunup.","ubi	kung	ege		nengg-em	engg-e	kem-en	wun-up","cassava_leaf	cassava_leaf	DEM.here		cook-1PL.IMP	say-SM	do-N	go-1PL","we were about to cook young Cassava leaves.","","WORD_ALIGNED"
"a74","Nenggem engge kemen wunup e, kadukma menen.","nengg-em	engg-e	kem-en	wun-up	=e		kaduk	=ma	men-en","cook-1PL.IMP	say-SM	do-N	go-1PL	=DS.SEQ		man	=other	come-3SG.M","We were just about to start cooking, when (suddenly) another man came.","","WORD_ALIGNED"
"a1876","Ambo Kosmas.","ambo	Kosmas","older_brother	Kosmas","(It was) brother Kosmas.","","WORD_ALIGNED"
"a75","""Ai mok, amunggun edo mok medep kemodip ki?"", enggon go, ""Ah nowan o.""","ai	mok		amunggun	edo	mok	medep	kemo-d-ip	=ki		engg-on	=go		ah	nowan	=o","INTJ	INTJ		afternoon	DEM.this	INTJ	what	do-DUR-2/3PL	=EMPH		say-3SG.M	=PTC		INTJ	NEG	=QUOT","""Oh, hey, what are you doing in this afternoon?"", he said, (we answered:) ""Oh nothing.""","","WORD_ALIGNED"
"a76","""Ubi kung ege nenggem engge kemodup o"", enggup ko,","ubi	kung	ege	nengg-em	engg-e	kemo-d-up	=o		engg-up	=ko ","cassava_leaf	casava_leaf	DEM.here	cook-1PL.IMP	say-SM	do-DUR-1PL	=QUOT		say-1PL	=PTC","""We were about to cook these young Cassava leaves"" we said and ...","","WORD_ALIGNED"
"a2127","""Ah, ne go kibiyon ko weneni go, ton temenggaden, ih, ok Nimi wano.""","ah		ne	=go	kibiyon	=ko	wene-n-i	=go		ton	teme-ngg-a-den		ih		ok	Nimi	wano","INTJ		1SG	=PTC	yesterday	=PTC	go-SS-1SG	=PTC		fish	see-2/3SG.O-1SG-PFV		INTJ		river	Nimi	down","""Oh, when I was travelling yesterday, I saw a fish, down at Nimi river.""","","WORD_ALIGNED"
"a1878","engge kumunggon go, ""Ah!""","engg-e	kumungg-on	=go		ah","say-SM	tell-3SG.M	=PTC		INTJ","When he told like that, (we answered:) ""Oh!""","","WORD_ALIGNED"
"a2128","Kawut Ubi embit odo kombe kolenup ko, kawut,","kawut	ubi	embit	odo	komb-e	kole-n-up	=ko		kawut","directly	cassava_leaf	leaf	DEM	put:SG.O-SM	leave-SS-1PL	=PTC		directly","Immediately, we set the Cassava leaves aside and directly ...","","WORD_ALIGNED"
"a2633","nup alopmim okune, ok Nimi wano wunup.","nup	alopmim	okun-e		ok	Nimi	wano	wun-up","1PL	three	like_that-SM		river	Nimi	down	go-1PL","the three of us went down to Nimi river.","","WORD_ALIGNED"
